Number,StartMilliseconds,EndMilliseconds,Text
447,3068875,3074116,"that you're big enough to treat Catherine
better than the world has treated you."
448,3074254,3076329,You have that power.
449,3076463,3078539,Please.
450,3078674,3080631,My daughter is Catherine.
451,3080759,3084591,"Boy, that's smart.
Jesus, that's really smart."
452,3084721,3086963,She keeps repeating the name.
453,3087099,3093018,"If he sees Catherine as a person and not
just an object, it's harder to tear her up."
454,3093146,3095553,Release my little girl.
455,3095773,3099224,"You're coming into my hospital
to conduct an interview"
456,3099360,3103274,"and refusing to share information
with me for the third time."
457,3103406,3107699,"Sir, I told you, this is just a routine
follow-up on the Raspail case."
458,3107827,3111325,"- He is my patient. I have rights.
- I understand that, sir."
459,3111454,3115997,"Look, I am not just
some turnkey, Miss Starling."
460,3117043,3120127,"This is the number
for the US attorney's office."
461,3120255,3125593,"Either you discuss this with him or you
let me do my job, do you understand?"
462,3129346,3135716,"If your profile helps us catch Buffalo Bill
in time to save Catherine Martin,"
463,3135852,3138307,the senator promises you a transfer
464,3138437,3142684,"to the VA hospital at Oneida Park, New
York, with a view of the woods nearby."
465,3142816,3145816,"Maximum security still applies, of course."
466,3145944,3149229,You'd have reasonable access to books.
467,3149364,3151617,"Best of all, though,"
468,3151753,3155880,"one week of the year,
you get to leave the hospital"
469,3156006,3158046,and go here.
470,3160802,3163589,Plum Island.
471,3163721,3168430,"Every day of that week you may walk on
the beach, you may swim in the ocean,"
472,3168559,3173221,"for up to one hour, under SWAT team
surveillance, of course."
473,3173940,3176395,And there you have it.
474,3178526,3182026,A copy of the Buffalo Bill case file.
475,3183615,3185987,A copy of the senator's offer.
476,3186117,3190031,This offer is non-negotiable and final.
477,3190163,3193247,"Catherine Martin dies, you get nothing."
478,3202965,3206499,"""Plum Island Animal Disease
Research Centre."""
479,3209304,3211545,Sounds charming.
480,3211680,3215298,"That's only a part of the island.
There's a very nice beach."
481,3215434,3219052,"- Terns nest there. There's beautiful...
- Terns?"
482,3221023,3224189,"If I help you, Clarice,
it will be ""turns"" with us too."
483,3224318,3227402,"Suid pro quo. I tell you things,
you tell me things."
484,3227529,3230280,"Not about this case, though.
About yourself."
485,3230406,3233442,Suid pro quo. Yes or no?
486,3235953,3239488,"Yes or no, Clarice?
Poor little Catherine is waiting."
487,3240708,3242996,"Go, Doctor."
488,3243127,3245877,What is your worst memory of childhood?
489,3247839,3250306,The death of my father.
490,3250437,3253473,"Tell me about it and don't lie, or I'll know."
491,3254566,3256605,He was a town marshal.
492,3257944,3261147,One night he surprised two burglars
493,3261281,3263735,coming out the back of a drugstore.
494,3264992,3267031,They shot him.
495,3267160,3269319,Was he killed outright?
496,3269454,3273403,"No, he was very strong.
He lasted more than a month."
497,3274709,3277579,My mother died when I was very young.
498,3279254,3283797,"My father had become the whole world to
me, and, when he left me, I had nothing."
